"Number.People","Ward","Division","House.Number","Street.Name","Address.Line.2"
856,27,22,3700,"SPRUCE ST","U OF P ASHURST"
798,27,22,3650,"SPRUCE ST",""
236,8,14,1512,"SPRUCE ST","DRAKE HOTEL"
199,5,9,1326,"SPRUCE ST","CENTER CITY ONE"
184,27,20,3909,"SPRUCE ST","U OF P VANPELT LRS"
162,8,14,1520,"SPRUCE ST","TOURAINE APTS"
144,27,22,3702,"SPRUCE ST",""
139,27,21,3817,"SPRUCE ST","U OF P MAYER"
107,5,14,1228,"SPRUCE ST","WELLINGTON SPRUCE APTS"
88,5,18,130,"SPRUCE ST","PENNS LANDING CONDO"
65,5,9,1327,"SPRUCE ST","MILESTONE APTS"
60,8,1,2220,"SPRUCE ST","SPRUCE ST APT 2220"
59,27,10,4418,"SPRUCE ST","CONCORD HALL"
50,60,8,4931,"SPRUCE ST",""
49,27,14,4301,"SPRUCE ST","CASTLE HILL APTS"
48,5,9,1321,"SPRUCE ST","BURLINGTON HOUSE APTS"
47,8,14,1530,"SPRUCE ST","NEWPORT APTS"
47,60,8,4935,"SPRUCE ST",""
46,46,23,4529,"SPRUCE ST","SPRUCE MANOR"
41,27,10,4400,"SPRUCE ST","SPRUCE HILL COURT"
38,27,9,4044,"SPRUCE ST",""
32,27,22,3720,"SPRUCE ST",""
31,8,5,1527,"SPRUCE ST","NASH APTS"
31,27,8,3916,"SPRUCE ST",""
31,27,1,4101,"SPRUCE ST","BERKSHIRE APTS"
31,60,8,4901,"SPRUCE ST","SHELDRAKE APTS"
30,5,7,1100,"SPRUCE ST",""
30,27,23,4300,"SPRUCE ST","CAMPUS APTS 4300"
28,27,9,4112,"SPRUCE ST",""
27,5,7,1122,"SPRUCE ST",""
27,27,14,4311,"SPRUCE ST","BLENHEIM APTS"
26,5,6,1035,"SPRUCE ST",""
26,27,8,3900,"SPRUCE ST",""
26,27,8,3908,"SPRUCE ST",""
24,5,6,1014,"SPRUCE ST",""
24,27,14,4323,"SPRUCE ST",""
24,46,19,4600,"SPRUCE ST",""
23,5,9,1307,"SPRUCE ST",""
